Id,SalePrice
1461,127500.0
1462,170000.0
1463,200000.0
1464,217000.0
1465,180000.0
1466,178000.0
1467,143500.0
1468,178000.0
1469,160000.0
1470,120500.0
1471,190000.0
1472,89500.0
1473,89500.0
1474,148500.0
1475,133000.0
1476,582933.0
1477,256300.0
1478,314813.0
1479,236500.0
1480,465000.0
1481,440000.0
1482,202500.0
1483,176432.0
1484,171900.0
1485,179540.0
1486,241000.0
1487,359100.0
1488,147000.0
1489,176000.0
1490,173000.0
1491,198900.0
1492,113000.0
1493,207000.0
1494,290000.0
1495,440000.0
1496,246578.0
1497,175500.0
1498,144152.0
1499,144152.0
1500,112000.0
1501,211000.0
1502,151000.0
1503,147000.0
1504,230000.0
1505,204000.0
1506,190000.0
1507,175000.0
1508,223000.0
1509,165000.0
1510,160000.0
1511,138500.0
1512,149500.0
1513,127500.0
1514,223500.0
1515,250000.0
1516,154000.0
1517,169900.0
1518,124500.0
1519,260000.0
1520,132500.0
1521,129500.0
1522,165500.0
1523,125500.0
1524,120000.0
1525,140000.0
1526,140000.0
1527,96500.0
1528,147000.0
1529,135000.0
1530,159000.0
1531,106000.0
1532,131400.0
1533,130000.0
1534,130500.0
1535,187500.0
1536,115000.0
1537,61000.0
1538,212000.0
1539,228500.0
1540,106000.0
1541,179200.0
1542,135000.0
1543,197000.0
1544,86000.0
1545,91300.0
1546,134800.0
1547,131000.0
1548,89500.0
1549,127500.0
1550,131000.0
1551,110500.0
1552,190000.0
1553,177000.0
1554,128000.0
1555,215000.0
1556,91500.0
1557,145250.0
1558,87000.0
1559,113000.0
1560,175000.0
1561,163500.0
1562,130000.0
1563,125000.0
1564,173000.0
1565,128500.0
1566,260000.0
1567,79900.0
1568,237500.0
1569,131000.0
1570,108000.0
1571,131000.0
1572,142125.0
1573,240000.0
1574,60000.0
1575,241500.0
1576,231500.0
1577,206000.0
1578,174000.0
1579,135960.0
1580,196500.0
1581,144000.0
1582,122000.0
1583,440000.0
1584,236000.0
1585,140000.0
1586,72500.0
1587,116000.0
1588,128000.0
1589,141000.0
1590,156000.0
1591,115000.0
1592,100000.0
1593,121000.0
1594,100000.0
1595,124500.0
1596,190000.0
1597,137000.0
1598,205950.0
1599,184100.0
1600,179900.0
1601,60000.0
1602,132500.0
1603,102776.0
1604,275000.0
1605,275000.0
1606,143500.0
1607,181000.0
1608,207500.0
1609,176485.0
1610,167500.0
1611,163000.0
1612,135000.0
1613,176432.0
1614,127000.0
1615,75000.0
1616,75000.0
1617,75000.0
1618,130000.0
1619,131000.0
1620,189000.0
1621,164500.0
1622,145250.0
1623,312500.0
1624,231500.0
1625,129000.0
1626,160000.0
1627,173000.0
1628,248000.0
1629,185000.0
1630,287000.0
1631,212000.0
1632,265900.0
1633,180000.0
1634,193000.0
1635,211000.0
1636,194700.0
1637,142600.0
1638,190000.0
1639,181000.0
1640,260000.0
1641,163500.0
1642,236000.0
1643,212000.0
1644,212000.0
1645,167000.0
1646,145000.0
1647,164000.0
1648,124000.0
1649,158000.0
1650,120500.0
1651,135750.0
1652,100000.0
1653,100000.0
1654,146000.0
1655,239000.0
1656,146000.0
1657,146000.0
1658,146000.0
1659,133000.0
1660,159500.0
1661,556581.0
1662,485000.0
1663,374000.0
1664,184750.0
1665,314813.0
1666,372402.0
1667,410000.0
1668,315500.0
1669,315500.0
1670,377500.0
1671,311872.0
1672,184750.0
1673,285000.0
